DEPT_CODE,DEPT_NAME,YYYY,GDP(Bill)(COP),GDP(COP),SECTOR,SECTOR_ID
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2015,643,6.43E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2016p,679,6.79E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2000,2002,2.002E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2001,2262,2.262E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2002,2459,2.459E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2003,2796,2.796E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2004,3104,3.104E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2005,3485,3.485E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2006,3942,3.942E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2007,4480,4.48E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2008,4751,4.751E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2009,4971,4.971E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2010,5206,5.206E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2011,5616,5.616E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2012,5915,5.915E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2013,6881,6.881E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2014,7784,7.784E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2015,9204,9.204E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
68,SANTANDER,2016p,9893,9.893E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2000,389,3.89E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2001,406,4.06E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2002,427,4.27E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2003,448,4.48E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2004,539,5.39E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2005,606,6.06E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2006,695,6.95E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2007,800,8E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2008,863,8.63E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2009,897,8.97E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2010,939,9.39E+11,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2011,1040,1.04E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2012,1107,1.107E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2013,1189,1.189E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2014,1296,1.296E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2015,1399,1.399E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
70,SUCRE,2016p,1520,1.52E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2000,1041,1.041E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2001,1124,1.124E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2002,1138,1.138E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2003,1156,1.156E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2004,1328,1.328E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2005,1388,1.388E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
73,TOLIMA,2006,1634,1.634E+12,COMERCIO REPARACION TRANSPORTE Y ALOJAMIENTO,S04
